SKU,Nombre,Descripcion,Precio,Stock,Categoria,Tallas,Colores,Imagen
CW-022,Hoodie Night Culture,Hoodie negro premium con estética nocturna y detalles azules.,209,18,Hoodies,"M, L, XL","Negro, Azul",products/cw-022_hoodie_night_culture.png
CW-023,Cargo Pants Roots,Pantalón cargo negro con detalles inspirados en raíces urbanas.,195,13,Pantalones,"S, M, L","Negro, Rojo",products/cw-023_cargo_pants_roots.png
CW-024,Casaca Street Redline,Casaca negra con líneas rojas y cierre frontal.,229,11,Casacas,"S, M, L","Negro, Rojo",products/cw-024_casaca_street_redline.png
CW-025,Gorra Tag White,"Gorra off-white con logo CW oscuro, estilo limpio y urbano.",69,27,Gorras,Única,"Off-White, Negro",products/cw-025_gorra_tag_white.png
CW-026,Tee Charcoal Logo,Polo charcoal con logo frontal en contraste.,85,36,Polos,"S, M, L, XL",Charcoal,products/cw-026_tee_charcoal_logo.png
CW-027,Hoodie Tie-Dye Smoke,Hoodie con efecto tie-dye humo y logo frontal.,199,17,Hoodies,"S, M, L","Negro, Blanco",products/cw-027_hoodie_tie-dye_smoke.png
CW-028,Shorts Blue Street,Short azul eléctrico con logo lateral para looks de verano.,105,20,Shorts,"S, M, L","Azul, Negro",products/cw-028_shorts_blue_street.png
CW-029,Casaca Varsity CW,Casaca varsity de inspiración urbana con detalles en blanco.,259,9,Casacas,"M, L, XL","Negro, Blanco",products/cw-029_casaca_varsity_cw.png
CW-030,Tee Freestyle Red,Polo rojo con firma CaoxWear y espíritu freestyle.,89,29,Polos,"S, M, L","Rojo, Blanco",products/cw-030_tee_freestyle_red.png
CW-031,Gorra Charcoal Mark,Gorra charcoal con logo minimal CW.,72,31,Gorras,Única,Charcoal,products/cw-031_gorra_charcoal_mark.png
CW-032,Jogger Red Accent,Jogger negro con acentos rojos y fit urbano.,175,15,Pantalones,"S, M, L","Negro, Rojo",products/cw-032_jogger_red_accent.png
CW-033,Bolso Mini Roots,Bolso compacto con diseño urbano para essentials.,89,25,Accesorios,Única,"Negro, Rojo",products/cw-033_bolso_mini_roots.png
CW-034,Tee Blue Strike,Polo negro con líneas azul eléctrico y logo central.,92,34,Polos,"S, M, L","Negro, Azul",products/cw-034_tee_blue_strike.png
CW-035,Hoodie Off-White Tag,"Hoodie off-white con logo CW negro, estilo limpio.",189,19,Hoodies,"S, M, L, XL","Off-White, Negro",products/cw-035_hoodie_off-white_tag.png
CW-036,Casaca Tactical Street,Casaca con bolsillos y look táctico urbano.,249,8,Casacas,"M, L, XL","Charcoal, Negro",products/cw-036_casaca_tactical_street.png
CW-037,Gorra 2000s Energy,Gorra negra con detalle rojo inspirado en los 2000s.,75,23,Gorras,Única,"Negro, Rojo",products/cw-037_gorra_2000s_energy.png
CW-038,Cargo Pants Blue Detail,Cargo negro con detalle azul y caída relajada.,189,12,Pantalones,"S, M, L","Negro, Azul",products/cw-038_cargo_pants_blue_detail.png
CW-039,Shorts Roots Red,Short rojo con logo CW y estilo deportivo urbano.,109,16,Shorts,"S, M, L","Rojo, Negro",products/cw-039_shorts_roots_red.png
CW-040,Tee CaoxWear Classic,Polo negro clásico con logo CaoxWear de uso diario.,79,50,Polos,"S, M, L, XL","Negro, Blanco",products/cw-040_tee_caoxwear_classic.png
